Zone,Districts,States,Climate,Temperature (°C),Precipitation (mm/year),Latitude Range,Longitude Range
Western Himalayas,44,"Jammu & Kashmir, Himachal Pradesh, Uttarakhand","Cold, temperate, alpine",5-15,1000-2000,30.0°N - 37.0°N,74.0°E - 82.0°E
Eastern Himalayas,33,"Arunachal Pradesh, Sikkim, Darjeeling","Temperate, subtropical",10-20,1500-3000,26.0°N - 30.0°N,88.0°E - 96.0°E
Indo-Gangetic Plains,156,"Punjab, Haryana, Uttar Pradesh, Bihar","Semi-arid, humid subtropical",20-30,500-1000,24.0°N - 30.0°N,74.0°E - 88.0°E
Thar Desert,23,"Rajasthan, Gujarat","Arid, hot desert",25-35,<500,23.0°N - 29.0°N,69.0°E - 76.0°E
Deccan Plateau,101,"Maharashtra, Karnataka, Telangana","Semi-arid, tropical",20-30,500-1000,15.0°N - 22.0°N,74.0°E - 82.0°E
Eastern Coastal Plains,74,"West Bengal, Odisha, Andhra Pradesh","Humid subtropical, tropical",20-30,1000-2000,10.0°N - 20.0°N,80.0°E - 90.0°E
Western Coastal Plains,51,"Kerala, Tamil Nadu","Tropical, humid",22-32,2000-3000,8.0°N - 15.0°N,72.0°E - 78.0°E
Northeastern Hills,35,"Meghalaya, Manipur, Mizoram, Nagaland","Subtropical, temperate",15-25,1500-3000,22.0°N - 28.0°N,90.0°E - 98.0°E
Islands,9,"Andaman & Nicobar, Lakshadweep","Tropical, humid",22-32,2000-3000,6.0°N - 14.0°N,92.0°E - 94.0°E
Central India,54,"Madhya Pradesh, Chhattisgarh","Semi-arid, tropical",20-30,500-1000,20.0°N - 25.0°N,75.0°E - 85.0°E
Southwestern India,22,"Goa, Konkan region","Tropical, humid",22-32,2000-3000,14.0°N - 18.0°N,72.0°E - 78.0°E
Northwestern India,30,"Delhi, NCR, parts of Haryana","Semi-arid, humid subtropical",20-30,500-1000,25.0°N - 30.0°N,70.0°E - 78.0°E
Ladakh and Jammu,14,"Ladakh, Jammu & Kashmir","Cold, temperate",5-15,500-1000,32.0°N - 37.0°N,74.0°E - 80.0°E
Tripura and Mizoram,10,"Tripura, Mizoram","Subtropical, temperate",15-25,1500-3000,23.0°N - 26.0°N,91.0°E - 93.5°E
Puducherry and Andaman,5,"Puducherry, Andaman & Nicobar","Tropical, humid",22-32,2000-3000,10.0°N - 14.0°N,92.0°E - 94.0°E
